,lncRNA_r,lncRNA_pval,lncRNA_sig
2-aminoadipate,0.322005516,1.53E-23,TRUE
3-phosphoglycerate,0.390696002,8.98E-35,TRUE
alpha-glycerophosphate,0.495887515,5.11E-58,TRUE
4-pyridoxate,0.213480446,6.68E-11,TRUE
aconitate,0.416543288,9.49E-40,TRUE
adenine,0.254687261,4.99E-15,TRUE
adipate,0.246370835,3.93E-14,TRUE
alpha-ketoglutarate,0.354904479,1.41E-28,TRUE
AMP,0.605109122,1.39E-92,TRUE
citrate,0.326376426,3.54E-24,TRUE
isocitrate,0.331317968,6.60E-25,TRUE
CMP,0.579792535,2.19E-83,TRUE
cystathionine,0.400683277,1.21E-36,TRUE
cytidine,0.528339763,5.42E-67,TRUE
dCMP,0.509451659,1.19E-61,TRUE
DHAP/glyceraldehyde 3P,0.445180174,8.56E-46,TRUE
erythrose-4-phosphate,0.173393227,1.29E-07,TRUE
F1P/F6P/G1P/G6P,0.388150099,2.63E-34,TRUE
hexoses (HILIC neg),0.537147003,1.34E-69,TRUE
fumarate/maleate/alpha-ketoisovalerate,0.233234149,8.80E-13,TRUE
glucuronate,0.441395603,5.82E-45,TRUE
glutathione oxidized,0.440488429,9.19E-45,TRUE
glutathione reduced,0.414137372,2.88E-39,TRUE
GMP,0.445579811,6.99E-46,TRUE
guanosine,0.406860266,7.82E-38,TRUE
hippurate,0.440438777,9.42E-45,TRUE
hypoxanthine,0.282654021,2.75E-18,TRUE
inosine,0.32930833,1.31E-24,TRUE
kynurenine,0.19963434,1.09E-09,TRUE
lactate,0.408790914,3.28E-38,TRUE
lactose,0.442534115,3.28E-45,TRUE
malate,0.192345606,4.40E-09,TRUE
NAD,0.252678253,8.27E-15,TRUE
NADP,0.410479968,1.53E-38,TRUE
oxalate,0.627362448,2.24E-101,TRUE
pantothenate,0.394793648,1.56E-35,TRUE
PEP,0.318816706,4.36E-23,TRUE
ribose-5-P/ribulose5-P,0.401870236,7.17E-37,TRUE
sorbitol,0.565862714,1.16E-78,TRUE
succinate/methylmalonate,0.325985933,4.04E-24,TRUE
sucrose,0.19625649,2.10E-09,TRUE
thymine,0.173680751,1.23E-07,TRUE
UMP,0.589296476,9.62E-87,TRUE
UDP-galactose/UDP-glucose,0.256454578,3.19E-15,TRUE
uracil,0.512172827,2.12E-62,TRUE
urate,0.40456146,2.18E-37,TRUE
uridine,0.131099679,6.90E-05,TRUE
xanthine,0.616329472,6.28E-97,TRUE
taurocholate,0.096142265,0.00358469,FALSE
glycodeoxycholate/glycochenodeoxycholate,0.355805755,1.00E-28,TRUE
taurodeoxycholate/taurochenodeoxycholate,0.180008873,4.12E-08,TRUE
phosphocreatine,0.675584723,4.06E-123,TRUE
3-methyladipate/pimelate,0.416765246,8.57E-40,TRUE
6-phosphogluconate,0.254639999,5.05E-15,TRUE
alpha-hydroxybutyrate,0.516630284,1.22E-63,TRUE
2-hydroxyglutarate,0.439571748,1.45E-44,TRUE
inositol,0.364675408,3.42E-30,TRUE
malondialdehyde,0.235944438,4.70E-13,TRUE
glycine,0.236918392,3.75E-13,TRUE
alanine,0.354100867,1.90E-28,TRUE
serine,0.278095441,9.92E-18,TRUE
threonine,0.330256575,9.49E-25,TRUE
methionine,0.526289713,2.14E-66,TRUE
aspartate,0.279419513,6.85E-18,TRUE
glutamate,0.40907002,2.89E-38,TRUE
asparagine,0.198544392,1.35E-09,TRUE
glutamine,0.216561765,3.49E-11,TRUE
histidine,0.530813886,1.02E-67,TRUE
arginine,0.383062713,2.19E-33,TRUE
lysine,0.553729369,1.00E-74,TRUE
valine,0.422982962,4.66E-41,TRUE
leucine,0.552409344,2.63E-74,TRUE
isoleucine,0.452705441,1.76E-47,TRUE
phenylalanine,0.520433094,1.03E-64,TRUE
tyrosine,0.513266019,1.06E-62,TRUE
tryptophan,0.414168678,2.84E-39,TRUE
proline,0.315010098,1.50E-22,TRUE
cis/trans-hydroxyproline,0.239429226,2.08E-13,TRUE
ornithine,0.18110724,3.40E-08,TRUE
citrulline,0.379528077,9.34E-33,TRUE
taurine,0.3204041,2.59E-23,TRUE
5-HIAA,0.234279864,6.92E-13,TRUE
serotonin,0.09427074,0.004295344,FALSE
GABA,0.456003539,3.11E-48,TRUE
acetylglycine,0.458142194,1.00E-48,TRUE
dimethylglycine,0.417826636,5.23E-40,TRUE
homocysteine,0.253872645,6.13E-15,TRUE
SDMA/ADMA,0.498816306,8.66E-59,TRUE
NMMA,0.567347472,3.74E-79,TRUE
allantoin,0.490222158,1.51E-56,TRUE
anthranilic acid,0.35157715,4.85E-28,TRUE
kynurenic acid,0.60357201,5.32E-92,TRUE
5-adenosylhomocysteine,0.352976512,2.89E-28,TRUE
carnosine,0.539568514,2.49E-70,TRUE
N-carbamoyl-beta-alanine,0.590162707,4.70E-87,TRUE
thiamine,0.478707466,1.21E-53,TRUE
niacinamide,0.27268985,4.41E-17,TRUE
betaine,0.353188694,2.67E-28,TRUE
choline,0.236315043,4.32E-13,TRUE
alpha-glycerophosphocholine,0.353009278,2.85E-28,TRUE
acetylcholine,0.226169658,4.34E-12,TRUE
creatine,0.52920116,3.04E-67,TRUE
creatinine,0.567402151,3.58E-79,TRUE
thyroxine,0.419630698,2.26E-40,TRUE
trimethylamine-N-oxide,0.431578079,7.52E-43,TRUE
hexoses (HILIC pos),0.431533689,7.69E-43,TRUE
adenosine,0.24946118,1.84E-14,TRUE
thymidine,0.32046901,2.53E-23,TRUE
xanthosine,0.420094809,1.82E-40,TRUE
2-deoxyadenosine,0.374545077,7.00E-32,TRUE
2-deoxycytidine,0.544184739,9.70E-72,TRUE
cAMP,0.316626138,8.91E-23,TRUE
cotinine,0.355310982,1.21E-28,TRUE
pipecolic acid,0.109244718,0.000927154,FALSE
pyroglutamic acid,0.469648069,1.95E-51,TRUE
1-methylnicotinamide,0.761082385,5.25E-174,TRUE
butyrobetaine,0.377439213,2.18E-32,TRUE
putrescine,0.324119459,7.55E-24,TRUE
methionine sulfoxide,0.475632956,6.90E-53,TRUE
carnitine,0.520305297,1.11E-64,TRUE
acetylcarnitine,0.442245687,3.79E-45,TRUE
propionylcarnitine,0.305475418,3.09E-21,TRUE
malonylcarnitine,0.433262912,3.30E-43,TRUE
butyrylcarnitine/isobutyrylcarnitine,0.290996025,2.46E-19,TRUE
valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,0.205339177,3.54E-10,TRUE
hexanoylcarnitine,0.336930589,9.43E-26,TRUE
heptanoylcarnitine,0.313237466,2.66E-22,TRUE
lauroylcarnitine,0.377820889,1.87E-32,TRUE
myristoylcarnitine,0.394854341,1.52E-35,TRUE
palmitoylcarnitine,0.346739343,2.85E-27,TRUE
stearoylcarnitine,0.321525319,1.79E-23,TRUE
oleylcarnitine,0.305305927,3.25E-21,TRUE
arachidonyl_carnitine,0.524917024,5.34E-66,TRUE
sarcosine,0.288892491,4.56E-19,TRUE
beta-alanine,0.403392516,3.66E-37,TRUE
anserine,0.39873195,2.84E-36,TRUE
C14:0 LPC,0.362405653,8.20E-30,TRUE
C16:1 LPC,0.248596307,2.28E-14,TRUE
C16:0 LPC,0.388699743,2.09E-34,TRUE
C18:2 LPC,0.188438593,9.09E-09,TRUE
C18:1 LPC,0.452278001,2.20E-47,TRUE
C18:0 LPC,0.370445554,3.58E-31,TRUE
C20:4 LPC,0.329157851,1.38E-24,TRUE
C20:3 LPC,0.343698798,8.55E-27,TRUE
C22:6 LPC,0.311801132,4.21E-22,TRUE
C16:0 LPE,0.333801066,2.80E-25,TRUE
C18:1 LPE,0.316603905,8.97E-23,TRUE
C18:0 LPE,0.236598885,4.04E-13,TRUE
C20:4 LPE,0.350748464,6.58E-28,TRUE
C22:6 LPE,0.273182322,3.85E-17,TRUE
C32:2 PC,0.309183546,9.65E-22,TRUE
C32:1 PC,0.296980833,4.15E-20,TRUE
C32:0 PC,0.365751954,2.25E-30,TRUE
C34:4 PC,0.265933417,2.71E-16,TRUE
C34:3 PC,0.116711908,0.000400699,FALSE
C34:2 PC,0.226132738,4.37E-12,TRUE
C34:1 PC,0.383429687,1.88E-33,TRUE
C36:4 PC-A,0.371645164,2.23E-31,TRUE
C36:4 PC-B,0.538681992,4.61E-70,TRUE
C36:3 PC,0.324407391,6.86E-24,TRUE
C36:2 PC,0.225388328,5.16E-12,TRUE
C36:1 PC,0.334008578,2.61E-25,TRUE
C38:6 PC,0.499618147,5.31E-59,TRUE
C38:5 PC,0.546362262,2.06E-72,TRUE
C38:4 PC,0.572804235,5.49E-81,TRUE
C38:2 PC,0.182825802,2.51E-08,TRUE
C40:6 PC,0.519133999,2.39E-64,TRUE
C14:0 SM,0.263308163,5.42E-16,TRUE
C16:1 SM,0.381715932,3.81E-33,TRUE
C16:0 SM,0.418886154,3.19E-40,TRUE
C18:2 SM,0.349437934,1.07E-27,TRUE
C18:1 SM,0.28595281,1.07E-18,TRUE
C18:0 SM,0.278024464,1.01E-17,TRUE
C22:1 SM,0.344036578,7.57E-27,TRUE
C22:0 SM,0.219253453,1.97E-11,TRUE
C24:1 SM,0.379463406,9.59E-33,TRUE
C24:0 SM,0.359249434,2.74E-29,TRUE
C34:2 DAG,0.342801156,1.18E-26,TRUE
C34:1 DAG,0.359111456,2.89E-29,TRUE
C36:2 DAG,0.289482129,3.84E-19,TRUE
C36:1 DAG,0.369310987,5.60E-31,TRUE
C14:0 CE,0.313447625,2.49E-22,TRUE
C16:1 CE,0.616784281,4.15E-97,TRUE
C16:0 CE,0.600248925,9.41E-91,TRUE
C18:3 CE,0.533211997,2.00E-68,TRUE
C18:2 CE,0.607770472,1.35E-93,TRUE
C18:1 CE,0.66248853,8.21E-117,TRUE
C18:0 CE,0.417667642,5.64E-40,TRUE
C20:5 CE,0.618067715,1.28E-97,TRUE
C20:4 CE,0.64169018,1.98E-107,TRUE
C20:3 CE,0.563147092,9.14E-78,TRUE
C22:6 CE,0.57463308,1.31E-81,TRUE
C46:2 TAG,0.466622622,1.03E-50,TRUE
C46:1 TAG,0.524494715,7.06E-66,TRUE
C46:0 TAG,0.434175085,2.11E-43,TRUE
C48:3 TAG,0.367785891,1.02E-30,TRUE
C48:2 TAG,0.495509966,6.42E-58,TRUE
C48:1 TAG,0.436018732,8.51E-44,TRUE
C48:0 TAG,0.336355169,1.15E-25,TRUE
C50:3 TAG,0.437388877,4.32E-44,TRUE
C50:2 TAG,0.450396863,5.86E-47,TRUE
C50:1 TAG,0.377501727,2.13E-32,TRUE
C50:0 TAG,0.360013101,2.05E-29,TRUE
C52:5 TAG,0.492396735,4.14E-57,TRUE
C52:4 TAG,0.395034602,1.41E-35,TRUE
C52:3 TAG,0.378041593,1.71E-32,TRUE
C52:2 TAG,0.406098591,1.10E-37,TRUE
C52:1 TAG,0.39570917,1.05E-35,TRUE
C54:7 TAG,0.499164332,7.01E-59,TRUE
C54:6 TAG,0.478712624,1.20E-53,TRUE
C54:5 TAG,0.438916384,2.02E-44,TRUE
C54:4 TAG,0.415608841,1.46E-39,TRUE
C54:3 TAG,0.361067626,1.37E-29,TRUE
C54:2 TAG,0.45497358,5.36E-48,TRUE
C54:1 TAG,0.429078028,2.53E-42,TRUE
C56:8 TAG,0.522515625,2.61E-65,TRUE
C56:7 TAG,0.474826222,1.09E-52,TRUE
C56:6 TAG,0.522594871,2.48E-65,TRUE
C56:5 TAG,0.518044581,4.86E-64,TRUE
C56:4 TAG,0.499931632,4.39E-59,TRUE
C56:3 TAG,0.377892842,1.82E-32,TRUE
C56:2 TAG,0.453069758,1.46E-47,TRUE
C58:8 TAG,0.521939602,3.82E-65,TRUE
C58:7 TAG,0.466094914,1.38E-50,TRUE
C58:6 TAG,0.520881627,7.64E-65,TRUE
